ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
WNAI161,Acoma,35,-107.5,acom1246,Acoma (J161),xd1263,,,,,35,107.5,Original,,South-Central U.S.A.
WNAI162,Sia,35.3,-106.5,ziaa1251,Sia Keres (J162),xd1276,Sia; Tsiya; Zia,,Zia Pueblo (NT38),NT38,35.3,106.5,Original,,South-Central U.S.A.
WNAI163,Santa Ana,35.2,-106.4,sant1426,Santa Ana Keres (J163),xd1262,Santa Ana Keres,,,,35.2,106.4,Original,,South-Central U.S.A.
WNAI164,Kewa,35.3,-106.1,sant1425,Santo Domingo Keres (J164),xd1278,Kewa; Santo Domingo; Santo Domingo Pueblo,,,,35.3,106.1,Original,,South-Central U.S.A.
WNAI165,Cochiti,35.6,-106,coch1273,Cochiti (J165),xd1283,,,,,35.6,106,Original,,South-Central U.S.A.
WNAI166,Ohkay Owingeh,36.1,-106.1,sanj1276,San Juan Tewa (J166),xd1429,San Juan Tewa,,Tewa Pueblos (NT18),NT18,36.1,106.1,Original,,South-Central U.S.A.
WNAI167,San Ildefonso,35.9,-106.2,sani1273,San Ildefonso Tewa (J167),xd1261,San Ildefonso; Tewa; San Ildefonso Pueblo,,Tewa (NT18),NT18,35.9,106.2,Original,"Note 8Feb2018: Not changed, as focus is the pueblo of San Ildefonso, despite comment from HH: ""Hopi Tewa now has its own language-level glottocode Arizona Tewa ariz1237"". However, ariz1237 now linked to another society in EA.",South-Central U.S.A.
WNAI168,Santa Clara,36,-106.3,sant1421,Santa Clara Tewa (J168),xd1277,Santa Clara Tewa,,,,36,106.3,Original,,South-Central U.S.A.
WNAI169,Nambé Pueblo,35.9,-105.9,namb1296,Nambe Tewa (J169),xd1430,Nambe Tewa,,Tewa Pueblos (NT18),NT18,35.9,105.9,Original,,South-Central U.S.A.
WNAI170,Taos,36.5,-105.5,taos1236,Taos (J170),xd1282,,,Taos (NT17),NT17,36.5,105.5,Original,,South-Central U.S.A.
WNAI171,Isleta,34.8,-106.7,sout2961,Isleta (J171),xd1260,,,,,34.8,106.7,Original,,South-Central U.S.A.
WNAI172,Jemez,35.8,-106.8,jeme1245,Jemez (J172),xd1284,Walatowa; Towa,,,,35.8,106.8,Original,,South-Central U.S.A.
